Job Title,Company Name,Location,Status,Skills Requirements
Software Engineer,Shebak -,"Smart Village, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · PostgreSQL · C++ · Meta-Classes · Git · Unix · Linux
Odoo Developer,Smart Technology Solutions -,"Damietta, Damietta, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo ERP · Python · Communication · Troubleshooting · Odoo · Programming · Information Technology (IT) · Computer Science
Automation Engineer,Creative Motion -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Automation · API · Cloud · Computer Science · Engineering · CRM · Information Technology (IT) · JavaScript · REST
Senior Odoo developer,Ejad -,"Giza, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · PostgreSQL · Odoo ERP
Odoo Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Odoo ERP · Odoo Development · SQL · MongoDB · Python · Web Development
Senior Embedded Systems,SILOHUB -,"Nasr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 11 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Engineering · Embedded System · Embedded Programming · Embedded Software · Computer Science · embedded · Embedded Systems
Odoo Implementer,Premier UPVC -,"Badr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo implementation · Odoo · ERP · Implementation · PostgreSQL · Python · Information Technology (IT) · Accounting
Full Stack Developer,Offertivo -,"Heliopolis, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Python · JavaScript · MySQL · React · Git · Linux · RESTful APIs
Backend API Developer,AM SaleTech -,"Cairo, Egypt ",InternshipRemote,InternshipRemoteStudent · IT/Software Development · API · backend · Computer Science · developer · Information Technology (IT) · Software Engineering · Software Development · Design · Docker
Senior Power BI Developer (GeoLocation Specialist),Madar Soft -,"Fleming, Alexandria, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling
Odoo 18 Developer,Different corner technical office -,"6th of October, Giza, Egypt ",Freelance / ProjectHybrid,Freelance / ProjectHybridExperienced · 3 - 10 Yrs of Exp · IT/Software Development · developer · Computer Science · Information Technology (IT) · Odoo · Python
Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Mining · Data Science · data scientist · Hadoop · Machine Learning · Python · SQL
DevOps Engineer,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · DevOps · Docker · Engineering · Information Technology (IT) · Git · Kubernetes
DevOps Engineer,WUZZUF -,"Maadi, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · DevOps · Automation · AWS · Python · Bash · CI/CD
Technical Support,E@7CYBER FZCO -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 6 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · MCSE · Linux · Technical Support · Troubleshooting
Odoo Developer,Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Odoo · Odoo Development · Programming · Python · JavaScript · PostgreSQL
AI Engineer (LLM / NLP),Avanguard -,"New Cairo, Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Development · AI · Engineering · Information Technology (IT) · NLP · Programming
Odoo Developer,Knoz Elhekma Company -,"Sheraton, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Odoo · Development · Engineering · Software Development · Software · Computer Science · Information Technology (IT) · Android · Mobile Development
Data Entry,Confidential -,"Madina, Saudi Arabia ",Full TimeRemote,Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · Administration · IT/Software Development · Data Entry · Microsoft Office · computer · Python · Python Scripting · Customer Service · Typing · typing skills
Odoo Developer,Kandil Industries -,"Nasr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Odoo · Python · REST · Software · Software Development
Senior Odoo Developer,National Technology -,"Nasr City, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · ERP · Information Technology (IT) · Java · JSF · MVC
IoT Engineer,HITS Solutions -,"Nasr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IOT · Engineering · Computer Science · Information Technology (IT) · MQTT · Embedded Systems · Python · Azure
Data Engineer Team Lead,COB Solution  -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteManager · 4 - 6 Yrs of Exp · IT/Software Development · Computer Science · Engineering · Data · Information Technology (IT) · Software · Computer Engineering · AWS · Azure · Java
Purchasing Assistant,Confidential -,"Madina, Saudi Arabia ",Full TimeRemote,Full TimeRemoteExperienced · 2 - 5 Yrs of Exp · Administration · Logistics/Supply Chain · Purchasing/Procurement · Python · python development · Purchasing · Commerce · Procurement · Logistics · Supply
AI Trainer Technical Track Engineers & Developers,Avanguard -,"New Cairo, Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Training/Instructor · AI · Engineering · Training · Analysis · AWS · Computer Science · Data Science · Python
Chief Technology Officer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridManager · 10+ Yrs of Exp · C-Level Executive/GM/Director · Engineering - Telecom/Technology · Agile · business · Computer Engineering · Computer Science · CTO · Engineering · Finance · Information Technology (IT)
Kubernetes/Cloud Native Engineer(s),EXALT Technologies  -,"Sheraton, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · Engineering · Information Technology (IT) · Infrastructure · Linux · Networking
Django Backend Developer & AI Integration Engineer,ScribeMe -,"Cairo, Egypt ",Part TimeRemote,Part TimeRemoteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Django · Python · OCR · Computer Vision · Alt text · real-time AI · Database Management
Odoo Developer,ACS logistic company -,"Gomrok, Alexandria, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering · Computer Science · ERP · Information Technology (IT) · JavaScript · Odoo · PostgreSQL · Python · Software Engineering
System Administrator Supervisor,Rashideen Egypt for Trade  -,"Katameya, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Administration · IT/Software Development · Engineering - Telecom/Technology · Communication · Computer Science · Engineering · Information Technology (IT) · network · networks · LAN
Odoo Developer,Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 2 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Odoo · Git · HTML · Information Technology (IT) · JavaScript · jQuery · Linux · Python
Data Engineer,CreoTech -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · Maintenance · Engineering · AWS · Data
Senior Odoo Developer,Algoriza -,"6th of October, Giza, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 5+ Yrs of Exp · IT/Software Development · Odoo Developer · Odoo · Software Development · Computer Science · Development · Information Technology (IT) · Git · JavaScript · JSON
Ruby on Rails Developer,Fareeqy |  فريقي -,"Cairo, Egypt ",InternshipRemote,InternshipRemoteEntry Level · IT/Software Development · Engineering - Telecom/Technology · Ruby · Ruby on Rails · HTML · CSS · Software Development · Web Development · Rails · Computer Science
Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Medical/Healthcare · Quality · Analyst/Research · SQL · python development · SAS · Tableau · Power BI · QlikView · Microsoft Excel
